,Job,Company,Work Location,Start Date,Duration,Stipend,Time,Internship Type
62,Human Resources (HR),Unacademy,Bangalore,Immediately,1 Month,"10,000 /month",1 week ago,Internship
63,Event Management,Times Internet,"Delhi, Noida",Immediately,6 Months,"10,000 /month",1 week ago,Internship
64,Induction - HR,Paisabazaar,Gurgaon,Immediately,6 Months,"20,000 /month",1 week ago,Internship
65,Graphic Design,Economic Times Edge,Mumbai,Immediately,3 Months,"5,000 /month",1 week ago,Internship
66,Teaching,Teach For India,Delhi,Immediately,3 Months,Unpaid,1 week ago,Internship
67,Human Resources (HR),Bajaj Allianz General Insurance Company,Delhi,Immediately,3 Months,"5,000 /month",1 week ago,Internship
68,Event Management,Marico Limited,Mumbai,Immediately,3 Months,"15,000 /month",1 week ago,Internship
69,Business Development (Sales),Times Internet,Noida,Immediately,6 Months,"10,000 /month",1 week ago,Internship
70,Talent Development (External Utility Training),TATA Power Delhi Distribution Limited,Delhi,Immediately,3 Months,"5,000-10,000 /month",1 week ago,Internship
71,Marketing,Monster India,Noida,Immediately,3 Months,"12,000 /month",1 week ago,Internship
72,Influencer Marketing,FirstCry.com,Pune,Immediately,6 Months,"8,000 /month",1 week ago,Internship
73,Human Resources (HR),TATA Power Delhi Distribution Limited,Delhi,Immediately,3 Months,"5,000-10,000 /month",1 week ago,Internship
74,Youth For Nature Conservation Programme Intern,WWF-India,Work From Home,Immediately,1 Month,Unpaid,1 week ago,Internship
75,Marketing,Tata Strive,Pune,Immediately,1 Month,"3,000 /month",1 week ago,Internship
76,Content Marketing,IIT Bombay,Work From Home,Immediately,6 Months,"1,000-2,000 /month",1 week ago,Internship
77,HR (Tech),Tata AIA Life Insurance,Mumbai,Immediately,6 Months,"15,000-20,000 /month",1 week ago,Internship
78,Marketing,BYJU'S,"Ahmedabad, Rajkot",Immediately,2 Months,"18,000 /month",1 week ago,Internship
79,Human Resources (HR),HDFC Ergo General Insurance Company Limited,Pune,Immediately,3 Months,"9,000 /month",1 week ago,Internship
80,Production Trainee - ETB2B,Times Internet,Mumbai,Immediately,3 Months,"7,000 /month",1 week ago,Internship
81,Business Development (Sales),Mahindra Holidays & Resorts India Limited,"Ahmedabad, Pune, Navi Mumbai, Mumbai, Jaipur, Surat",Immediately,6 Months,"20,000 /month",1 week ago,Internship with job offer
82,Business Development (Sales),Times Group,Indore,Immediately,1 Month,None,1 week ago,Internship
83,Data Research (Operations),Times Internet Limited,Noida,Immediately,6 Months,"5,000-7,000 /month",1 week ago,Internship
84,Social Media Marketing,Hungama Digital Media Entertainment Private Limited,Mumbai,Immediately,3 Months,"5,000 /month",1 week ago,Internship
